Entity,Code,Year,Cantril ladder score,"GDP per capita, PPP (constant 2021 international $)",World regions according to OWID,time,time,time
Afghanistan,AFG,2024,1.721,1992.4244,Asia,2023,2023,2023
Albania,ALB,2024,5.304,18244.293,Europe,2023,2023,2023
Algeria,DZA,2024,5.364,15159.324,Africa,2023,2023,2023
Argentina,ARG,2024,6.188,27104.98,South America,2023,2023,2023
Armenia,ARM,2024,5.455,19230.19,Asia,2023,2023,2023
Australia,AUS,2024,7.057,59552.88,Oceania,2023,2023,2023
Austria,AUT,2024,6.905,65015.133,Europe,2023,2023,2023
Azerbaijan,AZE,2024,4.893,21262.299,Asia,2023,2023,2023
Bahrain,BHR,2024,5.959,57213.09,Asia,2023,2023,2023
Bangladesh,BGD,2024,3.886,8242.398,Asia,2023,2023,2023
Belarus,,,5.821,27611.18,Europe,2023,2021,2021
Belgium,BEL,2024,6.894,64185.848,Europe,2023,2023,2023
Belize,BLZ,2024,6.711,12455.296,North America,2023,2023,2024
Benin,BEN,2024,4.377,3721.2246,Africa,2023,2023,2023
Bolivia,BOL,2024,5.784,9843.97,South America,2023,2023,2023
Bosnia and Herzegovina,BIH,2024,5.877,20126.38,Europe,2023,2023,2023
Botswana,BWA,2024,3.383,18846.25,Africa,2023,2023,2023
Brazil,BRA,2024,6.272,19018.238,South America,2023,2023,2023
Bulgaria,BGR,2024,5.463,33403.375,Europe,2023,2023,2023
Burkina Faso,BFA,2024,4.548,2482.0723,Africa,2023,2023,2023
Burundi,,,3.775,833.9202,Africa,2023,2020,2020
Cambodia,KHM,2024,4.341,6690.5894,Asia,2023,2023,2023
Cameroon,CMR,2024,4.874,4870.571,Africa,2023,2023,2023
Canada,CAN,2024,6.9,55918.93,North America,2023,2023,2023
Central African Republic,,,3.4759,1145.0956,Africa,2023,2019,2019
Chad,TCD,2024,4.471,1679.4615,Africa,2023,2023,2023
Chile,CHL,2024,6.36,29462.64,South America,2023,2023,2023
China,CHN,2024,5.973,22137.6,Asia,2023,2023,2023
Colombia,COL,2024,5.695,18692.385,South America,2023,2023,2023
Comoros,COM,2024,3.566,3498.8032,Africa,2023,2023,2023
Congo,COG,2024,5.221,6172.2876,Africa,2023,2023,2023
Costa Rica,CRI,2024,6.955,26292.771,North America,2023,2023,2023
Cote d'Ivoire,CIV,2024,5.08,6485.316,Africa,2023,2023,2023
Croatia,HRV,2024,5.942,41116.87,Europe,2023,2023,2023
Cyprus,CYP,2024,6.068,53420.684,Europe,2023,2023,2023
Czechia,CZE,2024,6.822,49681.06,Europe,2023,2023,2023
Democratic Republic of Congo,COD,2024,3.295,1455.8356,Africa,2023,2023,2023
Denmark,DNK,2024,7.583,72097.305,Europe,2023,2023,2023
Dominican Republic,DOM,2024,5.823,23087.934,North America,2023,2023,2023
Ecuador,ECU,2024,5.725,14472.316,South America,2023,2023,2023
Egypt,EGY,2024,3.977,16691.133,Africa,2023,2023,2023
El Salvador,SLV,2024,6.469,11404.334,North America,2023,2023,2023
Estonia,EST,2024,6.448,42471.824,Europe,2023,2023,2023
Eswatini,SWZ,2024,3.502,10132.1875,Africa,2023,2023,2023
Ethiopia,ETH,2024,3.861,2755.457,Africa,2023,2023,2023
Finland,FIN,2024,7.741,57063.523,Europe,2023,2023,2023
France,FRA,2024,6.609,55441.188,Europe,2023,2023,2023
Gabon,GAB,2024,5.106,18702.691,Africa,2023,2023,2023
Gambia,GMB,2024,4.485,2932.2805,Africa,2023,2023,2023
Georgia,GEO,2024,5.185,22590.53,Asia,2023,2023,2023
Germany,DEU,2024,6.719,63578.14,Europe,2023,2023,2023
